PCE,HOMO_LUMO_gap,HOMO,LUMO,Voc,Jsc,CATE,CATE_var,CATE_se
1.32,-1.8,-5.3,-3.5,0.725,5.7,-3.70699769120648,3.50128827773278,1.87117296841654
10.75,-1.92,-5.45,-3.53,1.09,13.65,1.27693639510143,7.53439872165809,2.74488592142881
9.08,-1.92,-5.45,-3.53,1.22,11.53,-2.77065718636022,4.33664765443742,2.08246192148558
7.62,-1.49,-5.24,-3.75,0.8,20.45,11.4687451136184,12.7825251605484,3.57526574684294
7.31,-1.92,-5.2,-3.28,0.75,18.44,9.92158353535246,9.62852367817699,3.10298625168997
13.8,-1.81,-5.52,-3.71,0.85,26.7,20.8073234780667,339.737973579427,18.4319823562043
17.3,-1.81,-5.52,-3.71,0.87,26.3,19.5566958177957,199.982297975751,14.1415097488122
14.1,-1.79,-5.57,-3.78,0.88,22.9,18.2998760205865,63.7678948366362,7.98548025084504
16.59,-1.85,-5.55,-3.7,0.842,26.48,15.8036799689787,163.888822700703,12.8019069946904
6.6,-1.65,-5.36,-3.71,0.86,13.47,0.995552778172044,6.27940696074344,2.50587449022162
10.5,-1.62,-5.36,-3.74,1.01,16.3,10.3914330652497,5.47263746852192,2.33936689480764
11.1,-1.62,-5.36,-3.74,1.02,17.2,11.6096020565767,3.28042442875414,1.8111941996247
10.2,-1.62,-5.36,-3.74,1.05,15.4,7.14442516900414,8.5601790499603,2.92577836651382
9.4,-2.03,-5.61,-3.58,0.97,15.59,8.16042656136023,9.03176938468671,3.00529023302022
10.03,-2,-5.48,-3.48,0.74,19.25,10.8394593905478,7.9117347822475,2.81278061395614
10.87,-2,-5.48,-3.48,0.91,17.44,11.7226488461964,2.80217135057779,1.67396874241361
17.9,-2.02,-5.49,-3.47,0.86,26.8,22.8664119134105,288.956969499074,16.9987343499177
17.8,-2.1,-5.51,-3.41,0.87,26.7,22.5568137377796,434.679149131547,20.84896038491
17.3,-1.94,-5.32,-3.38,0.86,26.9,19.6586118289458,92.249134146757,9.6046412815241
19.02,-2,-5.46,-3.46,0.91,26.59,26.5388515229188,225.833233075646,15.0277487693815
7.7,-1.94,-5.33,-3.39,0.8,16.25,8.79515430954132,4.6991688946098,2.16775665022848
6.9,-1.76,-5.43,-3.67,1.07,11.23,-1.85221669999716,5.58389733169059,2.36302715424317
4.72,-1.67,-5.44,-3.77,0.81,11.63,-1.70676089175629,6.84192802716746,2.61570793995956
11.74,-1.72,-5.27,-3.55,0.653,27.14,16.064700955032,115.487797022142,10.746524881195
12.77,-1.72,-5.27,-3.55,0.66,28.2,15.0865264078681,110.502702687358,10.5120265737563
8.8,-1.85,-5.6,-3.75,0.94,14.1,4.44022088804882,7.72699032024344,2.77974644891282
8.9,-1.85,-5.6,-3.75,0.95,14.5,6.52158348985669,10.1340470142255,3.18340179905482
6.4,-1.85,-5.6,-3.75,1.04,10.6,-1.83541735493432,5.17031936146049,2.27383362660079
7.06,-2.08,-5.6,-3.52,0.97,12.03,-1.10923238022454,3.68057487425547,1.91848244043449
18.55,-2.74,-5.7,-2.96,0.87,26.57,37.802835698783,130.182250693366,11.4097436734296
17.43,-2.47,-5.52,-3.05,0.92,24.56,22.5523916936505,63.9530509714323,7.99706514737953
0.9,-2.76,-5.68,-2.92,0.89,3.11,-2.89372300928942,3.9214508353143,1.98026534467336
10.5,-2.54,-5.41,-2.87,0.82,23.72,15.1311260882538,56.3852837350329,7.50901349945736
10.24,-1.88,-5.34,-3.46,0.87,18.29,11.2164296404397,3.29425045536228,1.81500701248295
8.64,-1.88,-5.34,-3.46,0.88,17.86,11.1109667006466,3.47470014953288,1.86405476033642
15.21,-1.72,-5.22,-3.5,0.85,24.55,13.8964945598763,50.4321890281165,7.10156243569797
12.69,-2.3,-5.4,-3.1,0.79,23.76,12.6090476210106,30.6013145820465,5.5318454951351
10.23,-1.66,-5.11,-3.45,0.81,20.53,11.2159241114926,13.7782893561628,3.71191181955644
13.5,-1.8,-5.52,-3.72,0.9,21.4,17.7042572396698,12.339294010637,3.51273312545046
14.07,-2.56,-5.37,-2.81,0.87,23.25,17.6742912058738,40.3089549785478,6.34893337329569
16.1,-2.65,-5.5,-2.85,0.83,25.5,15.6230146422593,85.311653580156,9.23643078143045
16.5,-2.59,-5.51,-2.92,0.85,25.4,17.5288822914181,79.6295097938142,8.92353684330458
17.1,-2.7,-5.55,-2.85,0.85,26,21.242651969665,232.787335933003,15.2573698891061
11.4,-1.82,-5.32,-3.5,0.87,21.07,13.5288075493167,14.6178922354336,3.82333522404635
13.1,-1.69,-5.31,-3.62,0.89,21.2,15.5602680512232,10.5273076115742,3.24458126906604
3.27433373781573,-2.20248180138682,-5.33274723558435,-3.13026543419753,0.73274723558435,68.77274220765,9.82325323306909,84.2715602032693,9.17995425932337
1.82196434151631,-1.94841090939211,-4.87277881666071,-2.9243679072686,0.27277881666071,102.79614282145,1.58908908881181,149.838447918382,12.2408516010277
0,-1.64285460156903,-5.64373823166831,-4.00088363009928,0,0,-3.29132349673038,3.58362144621664,1.89304554784523
1.32708915088762,-2.69366165633477,-5.36644214866828,-2.67278049233351,0.76644214866828,26.648226206485,13.1181583884196,37.7879858841899,6.14719333388741
5.41692694489885,-1.74313556681215,-5.20144972824544,-3.45831416143329,0.60144972824544,138.61212857375,-3.73194570608531,35.2375804364112,5.93612503544283
2.63781420176536,-1.78868567557966,-4.91227618546419,-3.12359050988453,0.31227618546419,130.00286507325,-1.6521855602693,42.9125366135185,6.55076610890043
3.44656003093051,-1.83307631446178,-5.03436144048307,-3.20128512602129,0.43436144048307,122.1186992519,0.304568021981075,60.5418595356021,7.78086496063273
1.95126204935645,-2.27629118985178,-5.09403779137484,-2.81774660152306,0.49403779137484,60.785922720965,33.149703675685,798.472229123192,28.2572509123445
6.41335189493549,-1.55920015558693,-5.16263248329879,-3.60343232771186,0.56263248329879,175.43161231375,-6.04797015144094,186.526334780129,13.6574644345182
1.43978899422367,-2.18367909893048,-4.91207399898085,-2.72839490005037,0.312073998980851,71.00498672345,19.5442913249932,1575.08516795137,39.687342666792
8.86860338066874,-1.76256575748142,-5.61318095939991,-3.85061520191849,1.01318095939991,134.71495196315,17.3655757376589,243.78836948743,15.6137237546791
2.15048706077375,-1.90421498914087,-4.90081146662604,-2.99659647748517,0.30081146662604,110.02465967805,-0.482385672269999,37.41564770048,6.11683314309619
2.86809452803403,-1.41960315003987,-4.81149017383875,-3.39188702379888,0.21149017383875,208.71365039135,0.452699863949891,31.2173096491781,5.58724526481325
0,-1.4124266936675,-5.41827957003971,-4.00585287637221,0,0,-3.94744799435645,3.67808477469956,1.91783335425671
9.99612889714126,-1.63567069777635,-5.56135917312715,-3.9256884753508,0.96135917312715,160.0271829481,29.7189616911417,248.488367523936,15.7635138063801
5.31718150942213,-1.94934862176094,-5.3960718259191,-3.44672320415816,0.7960718259191,102.79614282145,10.6831129266694,469.021830756288,21.6569118471745
2.90345366271359,-2.1518277831047,-5.19560258072354,-3.04377479761884,0.595602580723541,75.0249847282,-2.54268028042219,13.7943208493176,3.71407065755588
2.77534652300981,-1.67286390703167,-4.88144007259197,-3.2085761655603,0.28144007259197,151.7675309696,1.89341565040659,56.2264697444222,7.49843115220926
3.31039084160843,-2.14118508917429,-5.26711927063831,-3.12593418146402,0.66711927063831,76.3701024151,2.32933768683884,881.203193234406,29.6850668389749
3.84452478760905,-1.97486997242068,-5.20024682438487,-3.22537685196419,0.60024682438487,98.57354638625,-3.13037845680666,35.9675423673729,5.99729458734293
3.21228665565017,-2.21500978279901,-5.33314559036352,-3.11813580756451,0.73314559036352,67.4328715528,9.99389867873525,76.9523771542866,8.77225040421707
2.48879946422778,-2.61187202688558,-5.79658800125214,-3.18471597436656,1.19658800125214,32.01052877022,21.1182908361506,533.853151581109,23.1052624218187
5.27507879264981,-1.82654166804571,-5.25942418523515,-3.43288251718944,0.65942418523515,123.11519768405,-4.2979716123786,298.246299210439,17.2698088932807
1.53055473244666,-2.51626169008962,-5.20256202112978,-2.68630033104016,0.60256202112978,39.09261268211,6.36429397674269,1359.77573253056,36.8751370510071
1.25997498633206,-1.50322898298843,-4.703321803649,-3.20009282066057,0.103321803649,187.679799879,1.22586854439051,5.31537905676525,2.30551058483045
2.5878929009072,-1.56747583839172,-4.83001119359101,-3.26253535519929,0.23001119359101,173.1589384785,1.87800014833812,63.043323668376,7.93998259874516
5.60212097652879,-1.73507061205115,-5.21557077286484,-3.48050016081369,0.61557077286484,140.06256609345,1.5790110566055,87.3309212113597,9.34510145538077
2.74831395727631,-1.12593642252849,-4.74923432804457,-3.62329790551608,0.14923432804457,283.42959498945,0.617091919964106,1.46456830832021,1.21019350036273
2.14982587251953,-2.63922964432278,-5.70024674058798,-3.0610170962652,1.10024674058798,30.07189398967,20.4280151760608,268.94714770547,16.399608157071
4.86653270100714,-1.72689499460179,-5.12973864466826,-3.40284365006647,0.52973864466826,141.38572954675,-1.94674084950926,59.9393121769905,7.74204831921053
3.14944297580575,-2.27755404178469,-5.39740384042279,-3.1198497986381,0.79740384042279,60.785922720965,13.4158039969224,55.1757829256101,7.42804031529246
6.33114890929543,-2.09752820522264,-5.79073036149862,-3.69320215627598,1.19073036149862,81.83077946485,12.6701690290098,42.7613577449703,6.53921690609589
1.63533058992485,-2.61774488953947,-5.39610371249403,-2.77835882295456,0.79610371249403,31.61429479104,13.7817221221281,61.748304729804,7.85800895455102
2.48922094415591,-2.24833870028986,-5.19968979710613,-2.95135109681627,0.59968979710613,63.882863332145,1.98206831051768,89.2300491924751,9.44616584612376
2.39510873789031,-2.09746293116934,-5.05045989821996,-2.95299696705062,0.45045989821996,81.83077946485,3.1213157214697,212.807834055235,14.5879345369807
0.570256441249173,-1.89225537142186,-4.67842801843561,-2.78617264701375,0.0784280184356099,111.90424061245,9.22016481582603,454.81663495338,21.3264304315884
5.70317824367839,-1.27564147324739,-4.96984883624008,-3.69420736299269,0.36984883624008,237.32324375305,-2.73277150006595,65.9583363976125,8.12147378236318
2.01235737656676,-2.52264083917539,-5.40037604341798,-2.87773520424259,0.80037604341798,38.695335477565,13.2506656253448,352.539194530336,18.7760271231786
3.69522720794761,-2.13233925717764,-5.33579257038886,-3.20345331321122,0.73579257038886,77.29178477865,7.95732032084831,51.955465114895,7.20801395079775
2.10231272094337,-1.34539650111608,-4.74280430387469,-3.39740780275861,0.142804303874691,226.5706282385,2.1676408142686,8.1831841896392,2.86062653795269
1.0239683897309,-2.48352854399662,-4.9755395392927,-2.49201099529608,0.3755395392927,41.964153607545,4.54540055706931,29.7312958518874,5.45264118128888
5.61708806046006,-1.72172210755942,-5.20663777876449,-3.48491567120507,0.60663777876449,142.50475862805,-5.36632060655155,113.157844943167,10.6375676234357
4.76985734567294,-1.67031761990271,-5.08217921204847,-3.41186159214576,0.482179212048471,152.24551053075,-2.62536327846422,51.0307285540759,7.14357953368449
3.48510611815047,-1.71301091121446,-4.97296082132247,-3.25994991010801,0.37296082132247,143.8137401623,-0.555882711215174,78.3262934295119,8.85021431545654
1.77071068834144,-2.59605962896026,-5.42086970362484,-2.82481007466458,0.82086970362484,33.19869166341,14.8582041810551,203.905540253672,14.2795497216709
2.43977201067662,-1.27817125005632,-4.75845655995942,-3.4802853099031,0.15845655995942,236.96631152285,1.01085103483769,2.59279923941392,1.61021714045464
3.07373157583367,-2.37704657554521,-5.52914795586221,-3.152101380317,0.92914795586221,50.912995522285,40.2201673016727,321.962114339697,17.9433027712207
1.86892938065121,-2.38280791241527,-5.16969979616271,-2.78689188374744,0.56969979616271,50.48872628462,11.1239217030348,466.469483735593,21.5979046144665
0,-1.8464786311769,-5.86244382972612,-4.01596519854922,0,0,-1.89884494080275,2.09896323199593,1.44877991151035
9.79140194757214,-1.82613759332634,-5.8239982577292,-3.99786066440286,1.2239982577292,123.11519768405,8.48642318301405,32.0896839254564,5.66477571713624
2.58698108998939,-2.28649737196511,-5.26470563343021,-2.9782082614651,0.66470563343021,59.897884203495,-2.43275139070475,1262.78787728685,35.5357267730217
2.98530707941453,-2.26366909627811,-5.33979852789499,-3.07612943161688,0.73979852789499,62.10450938289,11.0705781140204,275.11881797836,16.5867060617339
1.5370209496516,-2.29846779112953,-5.0034943713732,-2.70502658024367,0.4034943713732,58.625950012825,11.0105687186944,60.6188278012191,7.78580938639131
1.52886765472601,-2.48732965703793,-5.16617982209867,-2.67885016506074,0.56617982209867,41.55880893021,8.41464375409942,164.268865748519,12.8167416197924
5.87272420494342,-2.05211138833811,-5.62950388594002,-3.57739249760191,1.02950388594002,87.7928611742,19.2586522423327,383.034672366115,19.5712716083068
8.04199777496031,-1.37497546194087,-5.1627556773584,-3.78778021541753,0.5627556773584,219.9336342684,-4.40209114561981,63.1989303539561,7.94977549078941
2.84257229917123,-2.49426783180255,-5.66304622350899,-3.16877839170644,1.06304622350899,41.15351715072,23.5060626687557,914.55165868314,30.2415551631053
5.62029283179328,-1.7436991751501,-5.22402975538098,-3.48033058023088,0.62402975538098,138.61212857375,-1.98240414730174,63.763865425864,7.98522795077661
